lr,weight_decay,epochs,batch_size,lstm_hidden_sizes,mlp_layer_sizes,dropout_rate,RMSE_mean,MAPE_mean,R2_mean,PCC_mean
0.001,0,100,64,"[6, 6, 6]","[6, 3]",0,0.09508089,0.030953672830946743,79.72991358619532,89.29160855656892
0.001,0,100,64,"[6, 6, 6]","[6, 3]",0.1,0.10380332,0.0373170361854136,78.97089204322127,88.86556815956406
0.001,0,100,64,"[6, 6, 6]","[6, 3]",0.2,0.121616945,0.0430930987931788,82.20397592510842,90.66640829166468
0.001,0,100,64,"[6, 6, 6]","[3, 6]",0,0.09284876,0.030064862221479416,82.11844182455265,90.61922633997304
0.001,0,100,64,"[6, 6, 6]","[3, 6]",0.1,0.16347581,0.06305894930846989,67.23937075488489,81.99961631305655
0.001,0,100,64,"[6, 6, 6]","[3, 6]",0.2,0.15406281,0.05799741484224796,59.85647071531774,77.36696369595859
0.001,0,100,64,"[6, 6, 6]","[3, 3]",0,0.49105275,0.20065931603312492,0.0,
0.001,0,100,64,"[6, 6, 6]","[3, 3]",0.1,0.49223635,0.2012267941609025,0.0,
0.001,0,100,64,"[6, 6, 6]","[3, 3]",0.2,0.25257304,0.09742977563291788,7.329926714139491,27.07383739727246
0.001,0,100,64,"[6, 6, 6]",[3],0,0.4340204,0.1732243923470378,1.9960677164619398,14.128226061547641
0.001,0,100,64,"[6, 6, 6]",[3],0.1,0.42196137,0.1675162697210908,0.0,
0.001,0,100,64,"[6, 6, 6]",[3],0.2,0.20252123,0.0788220320828259,70.02449679818986,83.68064100984759
0.001,0,100,64,"[6, 6, 6]",[6],0,0.0968506,0.034607635461725295,76.53812762690349,87.48607182112102
0.001,0,100,64,"[6, 6, 6]",[6],0.1,0.11380922,0.04424407961778343,75.26846279075369,86.75739898749481
0.001,0,100,64,"[6, 6, 6]",[6],0.2,0.18256615,0.07055093883536756,51.88672810409315,72.03244276303083
0.001,0,100,64,"[6, 6, 3]","[6, 3]",0,0.19949426,0.07580180536024272,46.20619461522133,-67.97513855463725
0.001,0,100,64,"[6, 6, 3]","[6, 3]",0.1,0.4739476,0.19243069691583514,0.0,
0.001,0,100,64,"[6, 6, 3]","[6, 3]",0.2,0.23435292,0.09126880904659629,4.669920591452151,21.60999905472499
0.001,0,100,64,"[6, 6, 3]","[3, 6]",0,0.14180058,0.04914498422294855,49.0087131059173,70.0062233704385
0.001,0,100,64,"[6, 6, 3]","[3, 6]",0.1,0.13065949,0.045418457011692226,63.230937260034324,79.51788305785958
0.001,0,100,64,"[6, 6, 3]","[3, 6]",0.2,0.20131654,0.0807287055067718,5.801319435448709,24.085928330559963
0.001,0,100,64,"[6, 6, 3]","[3, 3]",0,0.10044364,0.03379048430360854,76.87628989993506,87.67912516667523
0.001,0,100,64,"[6, 6, 3]","[3, 3]",0.1,0.12183738,0.0468727492261678,76.33980934140608,87.3726555287214
0.001,0,100,64,"[6, 6, 3]","[3, 3]",0.2,0.71673954,0.30607751104980707,0.0,
0.001,0,100,64,"[6, 6, 3]",[3],0,0.21200334,0.08141163270920515,0.3464778061542538,-5.886236540899912
0.001,0,100,64,"[6, 6, 3]",[3],0.1,0.17233986,0.06479203584603965,23.61567594489507,48.595962738580525
0.001,0,100,64,"[6, 6, 3]",[3],0.2,0.18602236,0.07083282107487321,9.495521455880967,30.8148040004816
0.001,0,100,64,"[6, 6, 3]",[6],0,0.08790496,0.028642828692682087,78.62374578524204,88.67003202054347
0.001,0,100,64,"[6, 6, 3]",[6],0.1,0.18522866,0.0701257900800556,9.101481474058867,30.168661677407677
0.001,0,100,64,"[6, 6, 3]",[6],0.2,0.18254323,0.07093812455423176,14.383639432365051,37.925768854915844
0.001,0,100,64,"[6, 3, 3]","[6, 3]",0,0.122809984,0.04200567491352558,76.27889193225904,87.33778788832419
0.001,0,100,64,"[6, 3, 3]","[6, 3]",0.1,0.20569612,0.08095759549178183,38.36750358376968,-61.94150755654052
0.001,0,100,64,"[6, 3, 3]","[6, 3]",0.2,0.12609167,0.046040822053328156,74.42603363066944,86.27052430040601
0.001,0,100,64,"[6, 3, 3]","[3, 6]",0,0.18550247,0.07065734826028347,40.731884559815754,63.821535988893075
0.001,0,100,64,"[6, 3, 3]","[3, 6]",0.1,0.12454869,0.04385757783893496,67.00068793559966,81.85394794119564
0.001,0,100,64,"[6, 3, 3]","[3, 6]",0.2,0.13540563,0.0468930636998266,80.26924790847836,89.59310682662945
0.001,0,100,64,"[6, 3, 3]","[3, 3]",0,0.12142141,0.04288208147045225,65.14729538890052,80.71387451293643
0.001,0,100,64,"[6, 3, 3]","[3, 3]",0.1,0.6246281,0.2635697368532419,0.0,
0.001,0,100,64,"[6, 3, 3]","[3, 3]",0.2,0.18171169,0.07113903993740678,23.100454146032842,48.06293181447928
0.001,0,100,64,"[6, 3, 3]",[3],0,0.090307124,0.031106118694879115,81.0392336900853,90.02179385575768
0.001,0,100,64,"[6, 3, 3]",[3],0.1,0.15862803,0.05937262321822345,58.378968962379155,76.40613127385731
0.001,0,100,64,"[6, 3, 3]",[3],0.2,0.2548179,0.09547407389618456,8.078679593535334,-28.423018125342242
0.001,0,100,64,"[6, 3, 3]",[6],0,0.089723974,0.030157805304042995,78.86894447873385,88.80818908115053
0.001,0,100,64,"[6, 3, 3]",[6],0.1,0.0943887,0.032470261794514954,83.64903729356658,91.45984763466785
0.001,0,100,64,"[6, 3, 3]",[6],0.2,0.09807198,0.03526679356582463,77.54578160561157,88.0600826740536
0.001,0,100,64,"[3, 3, 3]","[6, 3]",0,0.09094861,0.028624420519918203,80.49535501851322,89.71920364030949
0.001,0,100,64,"[3, 3, 3]","[6, 3]",0.1,0.20377696,0.0807511096354574,0.0913729390613941,3.0227957102886416
0.001,0,100,64,"[3, 3, 3]","[6, 3]",0.2,0.13725403,0.053525250405073166,75.70378738294767,87.00792342249507
0.001,0,100,64,"[3, 3, 3]","[3, 6]",0,0.17197962,0.061137002194300294,19.882135620243265,44.58938844640422
0.001,0,100,64,"[3, 3, 3]","[3, 6]",0.1,0.17031212,0.0639632751699537,31.858619994836683,56.44344071266093
0.001,0,100,64,"[3, 3, 3]","[3, 6]",0.2,0.19326411,0.07470652344636619,0.0,
